url_path,views_total,views_unique
/antonioscalaunina/pyANTI-FASc,18,11
/antonioscalaunina/pyANTI-FASc/tree/main,7,3
/antonioscalaunina/pyANTI-FASc/tree/main/utils/sz_slabs,7,1
/antonioscalaunina/pyANTI-FASc/blob/main/Example1_Tohoku.md,5,2
/antonioscalaunina/pyANTI-FASc/tree/main/utils,5,2
/antonioscalaunina/pyANTI-FASc/blob/main/config_files/Parameters/scaling_relationship.json,4,1
/antonioscalaunina/pyANTI-FASc/blob/main/utils/sz_slabs/slabs_database,4,1
/antonioscalaunina/pyANTI-FASc/tree/main/config_files,3,2
/antonioscalaunina/pyANTI-FASc/blob/main/bin/antifasc_main.ipynb,2,2
/antonioscalaunina/pyANTI-FASc/tree/main/bin,2,2
