url_path,views_total,views_unique
/antonioscalaunina/pyANTI-FASc,9,5
/antonioscalaunina/pyANTI-FASc/tree/main,4,2
/antonioscalaunina/pyANTI-FASc/tree/main/utils/sz_slabs,4,2
/antonioscalaunina/pyANTI-FASc/tree/main/utils/sz_slabs/sunda2,4,2
/antonioscalaunina/pyANTI-FASc/tree/main/utils/sz_slabs/sunda2/subfaults,4,2
/antonioscalaunina/pyANTI-FASc/tree/main/utils,3,3
/antonioscalaunina/pyANTI-FASc/tree/main/bin,3,2
/antonioscalaunina/pyANTI-FASc/blob/main/utils/sz_slabs/sunda2/subfaults/sunda2_mesh_nodes.dat,2,2
/antonioscalaunina/pyANTI-FASc/blob/main/bin/utils/mesh.py,2,1
/antonioscalaunina/pyANTI-FASc/blob/main/utils/sz_slabs/map_of_slabs.png,2,1
