time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-23 00:00:00+00:00,122,32,2,2
2026-06-24 00:00:00+00:00,34,12,2,2
2026-06-25 00:00:00+00:00,115,27,4,4
2026-06-26 00:00:00+00:00,15,6,1,1
2026-06-27 00:00:00+00:00,15,5,1,1
2026-06-28 00:00:00+00:00,9,5,0,0
2026-06-29 00:00:00+00:00,31,11,8,4
2026-06-30 00:00:00+00:00,2,2,15,5
2026-07-01 00:00:00+00:00,19,11,12,2
2026-07-02 00:00:00+00:00,17,8,10,3
2026-07-03 00:00:00+00:00,16,6,4,2
2026-07-04 00:00:00+00:00,37,13,2,2
2026-07-05 00:00:00+00:00,1,1,0,0
2026-07-06 00:00:00+00:00,33,14,1,1
