time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-09 00:00:00+00:00,1.0,1.0,,
2024-10-10 00:00:00+00:00,3.0,3.0,25.0,1.0
2024-10-11 00:00:00+00:00,12.0,10.0,54.0,2.0
2024-10-12 00:00:00+00:00,15.0,11.0,77.0,1.0
2024-10-13 00:00:00+00:00,33.0,17.0,169.0,4.0
2024-10-15 00:00:00+00:00,1.0,1.0,5.0,1.0
2024-10-17 00:00:00+00:00,2.0,1.0,,
2024-10-19 00:00:00+00:00,6.0,4.0,,
2024-10-20 00:00:00+00:00,,,8.0,2.0
